"student_id"	"pre_move_grade"	"post_move_grade"	"noise_level_pre"	"noise_level_post"	"study_hours"	"part_time_job"	"family_income"	"grade_improvement"	"distance"	"weights"	"subclass"
1	71.5031008049846	83.9995583705604	"Moderate"	"Moderate"	9.39762069776744	"No"	60149.4317274366	12.4964575655758	0.407453368591587	1	"1"
2	91.5322054177523	73.3129416126758	"Moderate"	"Moderate"	7.62482595286702	"No"	30072.5151131142	-18.2192638050765	0.621943928125983	1	"9"
3	76.359076872468	79.5445213466883	"Moderate"	"Low"	4.46970988660729	"No"	45727.2071279457	3.1854444742203	0.441891226450516	1	"3"
4	95.3206961601973	98.1789530999959	"High"	"Moderate"	6.08638811846418	"Yes"	51166.3728358271	2.85825693979859	0.429269553170747	1	"17"
5	97.6186913717538	79.316095886752	"Moderate"	"Low"	4.17132010416228	"Yes"	41067.9242994505	-18.3025954850018	0.479588309616711	1	"33"
6	61.8222599755973	95.614008884877	"Moderate"	"Low"	4.04750621076884	"Yes"	53339.0294249923	33.7917489092797	0.378672946795158	1	"16"
7	81.1242195218801	96.5775274764746	"Moderate"	"Moderate"	3.42279432429951	"Yes"	54114.2992061573	15.4533079545945	0.362794985561822	1	"29"
8	95.6967617757618	84.3493992928416	"High"	"Low"	3.81076546508098	"No"	49669.6384072401	-11.3473624829202	0.39928724512804	1	"19"
9	82.057400578633	76.4275910612196	"Moderate"	"Low"	8.30181493467338	"Yes"	25341.0180623997	-5.62980951741339	0.672234640826636	1	"9"
10	78.2645894121379	65.8837876375765	"Moderate"	"Low"	4.89194374982912	"No"	75714.5814586664	-12.3808017745614	0.2324237988494	1	"32"
11	98.2733338139951	97.4119921308011	"Moderate"	"Moderate"	5.23849047285517	"Yes"	47947.007425318	-0.861341683193999	0.441220113784756	1	"3"
13	87.1028254181147	62.4288228619844	"High"	"Moderate"	7.46495175697068	"No"	52737.6649103655	-24.6740025561303	0.435056842146644	1	"4"
14	82.9053360782564	97.9090776015073	"Moderate"	"Low"	3.96787233811044	"Yes"	60246.7323481835	15.0037415232509	0.325496471584084	1	"5"
15	64.1169873066247	88.8238509371877	"Moderate"	"Moderate"	3.01498569921593	"No"	58176.5944637409	24.706863630563	0.322269352830692	1	"5"
16	95.9929988160729	65.6917718239129	"Moderate"	"Moderate"	8.35139386480638	"No"	47902.0682877149	-30.30122699216	0.489663860664731	1	"6"
17	69.8435093741864	81.9713862426579	"Moderate"	"Moderate"	4.11767356618943	"No"	53781.6777220851	12.1278768684715	0.372079090666283	1	"7"
18	61.6823813412338	98.1636495422572	"High"	"Moderate"	3.55386806012025	"Yes"	40545.9116887611	36.4812682010234	0.473414199264708	1	"8"
20	98.1801459658891	76.1804112698883	"High"	"Low"	2.43056855536441	"No"	45389.6166111565	-21.9997346960008	0.410718419211972	1	"35"
22	87.712136246264	72.7928246837109	"High"	"Moderate"	6.23597163433306	"No"	33489.5110431181	-14.9193115625531	0.572137334709894	1	"10"
23	85.6202725507319	72.3088004346937	"High"	"Low"	7.21969627785944	"No"	45360.1275703398	-13.3114721160382	0.49140357751618	1	"10"
24	99.7707910649478	68.7907052505761	"High"	"Low"	6.41517670767118	"No"	58253.7986275924	-30.9800858143717	0.374088422829237	1	"7"
25	86.2282319646329	74.7795546334237	"Moderate"	"Moderate"	4.27268540580949	"No"	55101.3254687866	-11.4486773312092	0.364397069289526	1	"11"
26	88.3412187267095	99.368768138811	"Moderate"	"Low"	5.1194998747692	"Yes"	44105.18961485	11.0275494121015	0.470663093188542	1	"21"
27	81.7626409884542	66.1680920328945	"High"	"Low"	3.59080707263986	"Yes"	40032.1925779248	-15.5945489555597	0.478270225692476	1	"13"
28	83.7656808178872	63.6417599953711	"High"	"Moderate"	3.56556367685198	"Yes"	51444.757047107	-20.1239208225161	0.385700027659671	1	"12"
29	71.5663894917816	65.6762763112783	"Moderate"	"Low"	6.76930099795384	"Yes"	49856.9258683309	-5.89011318050331	0.451361200371324	1	"22"
30	65.884545892477	87.6002840604633	"High"	"Moderate"	2.96881484279291	"Yes"	32097.1876273594	21.7157381679863	0.533119360844423	1	"13"
31	98.5209693014622	84.7702593356371	"High"	"Moderate"	8.91058793098493	"Yes"	50345.5106713385	-13.7507099658251	0.483579581957198	1	"14"
32	96.0919618047774	95.6557646859437	"Moderate"	"Moderate"	4.8193608120683	"No"	51902.3031569246	-0.436197118833704	0.398059259454223	1	"15"
34	91.8186967074871	89.483109517023	"High"	"Low"	3.52294459052085	"No"	39449.8295739732	-2.33558719046411	0.477353956568456	1	"26"
35	60.984547380358	80.8454290311784	"Moderate"	"Low"	3.85122262047346	"Yes"	54761.3327830263	19.8608816508204	0.364593558740191	1	"25"
36	79.1118388436735	86.3935379870236	"Moderate"	"Low"	2.36596773538952	"Yes"	63785.7013695924	7.28169914335011	0.278007127916784	1	"31"
37	90.3383815009147	92.8722184058279	"Moderate"	"Moderate"	4.63414922325455	"Yes"	54562.3640317981	2.53383690491319	0.378556650178611	1	"16"
38	68.6563174333423	91.4512620680034	"Moderate"	"Low"	5.83796480984893	"No"	38644.1152962566	22.7949446346611	0.52332283713828	1	"41"
39	72.7272403053939	99.192876694724	"Moderate"	"Low"	5.64860868832276	"No"	45643.545303081	26.4656363893301	0.462428474966865	1	"36"
40	69.2650314141065	77.5772614497691	"High"	"Low"	3.4369270258905	"No"	53461.0361955361	8.31223003566259	0.363776508419069	1	"29"
42	76.5818534325808	76.3789981044829	"Moderate"	"Moderate"	3.99560256331428	"No"	28423.5366498472	-0.202855328097897	0.575780146902353	1	"18"
43	76.5489730518311	60.4186844732612	"High"	"Moderate"	7.9921213396927	"Yes"	58842.5082002821	-16.1302885785699	0.399237066025795	1	"19"
44	74.7538180369884	67.3539809603244	"Moderate"	"Low"	2.72539275866851	"No"	41705.2238837548	-7.399837076664	0.445387085261721	1	"20"
45	66.0977899096906	93.7091727554798	"High"	"Moderate"	4.6418968112396	"No"	44264.3972923172	27.6113828457892	0.456734854281137	1	"20"
46	65.5522425379604	69.2464712820947	"High"	"Low"	8.80472364335785	"Yes"	65039.0060900454	3.69422874413431	0.364023913073099	1	"11"
47	69.3213639780879	69.5639982260764	"High"	"Low"	4.79805022934238	"Yes"	42258.550703946	0.242634247988491	0.48041475719621	1	"23"
49	70.6389056146145	69.8289471212775	"Moderate"	"Moderate"	3.67046112945188	"Yes"	37393.1712118122	-0.809958493337007	0.501389310135817	1	"21"
50	94.3131086137146	89.2854082211852	"Moderate"	"Low"	5.97091995780976	"No"	46454.5759692602	-5.02770039252941	0.461221283843116	1	"14"
51	61.8332466669381	93.8981266040355	"High"	"Low"	4.24879425666045	"Yes"	49264.4398086352	32.0648799370974	0.414111440846698	1	"34"
52	77.688002968207	79.9010906834155	"Moderate"	"Low"	3.87624727290043	"Yes"	38313.4857557564	2.2130877152085	0.497292431075747	1	"18"
53	91.9569938257337	75.5163611937314	"Moderate"	"Moderate"	4.31216553174308	"Yes"	43652.5173509109	-16.4406326320023	0.460722623190848	1	"22"
54	64.8759703990072	69.8579597659409	"High"	"Low"	5.18099329427844	"Yes"	49711.5844707169	4.9819893669337	0.425955849946903	1	"17"
