          1           2           3           4           5           6           7           8           9          10 
 22.9010955 -12.8240715   1.3278841   3.5573407 -25.6648173  26.9905393  10.3298107 -12.7615420  -6.7586094 -11.5986702 
         11          12          13          14          15          16          17          18          19          20 
 -3.1974505  -8.8169612 -16.7751923   8.5009468  23.8140315 -22.5041848  12.8866865  32.0741991   5.8590643 -26.1011361 
         21          22          23          24          25          26          27          28          29          30 
-10.8020092 -10.3917053  -9.0316525 -27.2913317 -10.3348894   5.5175628 -22.6916157 -23.8197499  -8.1476744  15.7490883 
         31          32          33          34          35          36          37          38          39          40 
 -8.1600546   1.4317607  -5.1919824  -4.9013107  12.8062344  -1.8008371  -0.4408556  22.8835095  26.6663674   6.4839663 
         41          42          43          44          45          46          47          48          49          50 
  4.2735612  -1.2649199 -11.6088170 -12.5656361  30.0315647   7.3087490  -4.6001171 -20.4539814  -6.5597125  -4.2113792 
         51          52          53          54          55          56          57          58          59          60 
 26.7047203  -5.8402179 -20.6704037   1.2819300 -11.2843364   9.3928937  22.0266709 -18.0805530 -24.0959828  -8.0707963 
         61          62          63          64          65          66          67          68          69          70 
-10.6484767   3.4717785  10.5612277   4.4886865 -13.2256250   3.1509432  -5.9377058 -33.5267452 -12.8750436  -6.3169860 
         71          72          73          74          75          76          77          78          79          80 
 -0.2055003 -18.2630695   7.3377150  23.1359429  10.9263063  13.4086812   5.2388698  -2.3609193  19.4510953  21.4097900 
         81          82          83          84          85          86          87          88          89          90 
 12.5419939 -14.0295196  11.8908398 -19.0839652  18.8084586   3.7058567 -25.5079074  -9.3299403   2.3022445  25.0988761 
         91          92          93          94          95          96          97          98          99         100 
 12.4531834 -13.2845671  26.1140572  -2.9304863  31.9676656  10.8334463  -8.8632234  17.7973871 -10.3940621   9.2036769 
